"filename", "language", "TypeScript", "HTML", "CSS", "comment", "blank", "total"
"d:\FIXXUP\Angular-FIXXP-\src\app\usermanagement\usermanagement.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"d:\FIXXUP\Angular-FIXXP-\src\app\usermanagement\usermanagement.component.ts", "TypeScript", 177, 0, 0, 0, 21, 198
"d:\FIXXUP\Angular-FIXXP-\src\app\view-due-amount\view-due-amount.component.css", "CSS", 0, 0, 11, 0, 1, 12
"d:\FIXXUP\Angular-FIXXP-\src\app\view-due-amount\view-due-amount.component.html", "HTML", 0, 68, 0, 0, 13, 81
"d:\FIXXUP\Angular-FIXXP-\src\app\view-due-amount\view-due-amount.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"d:\FIXXUP\Angular-FIXXP-\src\app\view-due-amount\view-due-amount.component.ts", "TypeScript", 39, 0, 0, 0, 11, 50
"d:\FIXXUP\Angular-FIXXP-\src\app\view-home-transaction\view-home-transaction.component.css", "CSS", 0, 0, 202, 7, 43, 252
"d:\FIXXUP\Angular-FIXXP-\src\app\view-home-transaction\view-home-transaction.component.html", "HTML", 0, 51, 0, 0, 20, 71
"d:\FIXXUP\Angular-FIXXP-\src\app\view-home-transaction\view-home-transaction.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"d:\FIXXUP\Angular-FIXXP-\src\app\view-home-transaction\view-home-transaction.component.ts", "TypeScript", 26, 0, 0, 0, 8, 34
"d:\FIXXUP\Angular-FIXXP-\src\app\view-kyc-manager\view-kyc-manager.component.css", "CSS", 0, 0, 255, 7, 51, 313
"d:\FIXXUP\Angular-FIXXP-\src\app\view-kyc-manager\view-kyc-manager.component.html", "HTML", 0, 120, 0, 3, 6, 129
"d:\FIXXUP\Angular-FIXXP-\src\app\view-kyc-manager\view-kyc-manager.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"d:\FIXXUP\Angular-FIXXP-\src\app\view-kyc-manager\view-kyc-manager.component.ts", "TypeScript", 45, 0, 0, 0, 16, 61
"d:\FIXXUP\Angular-FIXXP-\src\app\view-security-workers-kyc-doc\view-security-workers-kyc-doc.component.css", "CSS", 0, 0, 0, 0, 1, 1
"d:\FIXXUP\Angular-FIXXP-\src\app\view-security-workers-kyc-doc\view-security-workers-kyc-doc.component.html", "HTML", 0, 1, 0, 0, 0, 1
"d:\FIXXUP\Angular-FIXXP-\src\app\view-security-workers-kyc-doc\view-security-workers-kyc-doc.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"d:\FIXXUP\Angular-FIXXP-\src\app\view-security-workers-kyc-doc\view-security-workers-kyc-doc.component.ts", "TypeScript", 34, 0, 0, 0, 12, 46
"d:\FIXXUP\Angular-FIXXP-\src\app\view-security-workers-kyc\view-security-workers-kyc.component.css", "CSS", 0, 0, 255, 7, 51, 313
"d:\FIXXUP\Angular-FIXXP-\src\app\view-security-workers-kyc\view-security-workers-kyc.component.html", "HTML", 0, 60, 0, 15, 7, 82
"d:\FIXXUP\Angular-FIXXP-\src\app\view-security-workers-kyc\view-security-workers-kyc.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"d:\FIXXUP\Angular-FIXXP-\src\app\view-security-workers-kyc\view-security-workers-kyc.component.ts", "TypeScript", 30, 0, 0, 0, 13, 43
"d:\FIXXUP\Angular-FIXXP-\src\app\view-security-workers\view-security-workers.component.css", "CSS", 0, 0, 208, 7, 47, 262
"d:\FIXXUP\Angular-FIXXP-\src\app\view-security-workers\view-security-workers.component.html", "HTML", 0, 111, 0, 3, 10, 124
"d:\FIXXUP\Angular-FIXXP-\src\app\view-security-workers\view-security-workers.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"d:\FIXXUP\Angular-FIXXP-\src\app\view-security-workers\view-security-workers.component.ts", "TypeScript", 45, 0, 0, 0, 8, 53
"d:\FIXXUP\Angular-FIXXP-\src\app\view-society-logo\view-society-logo.component.css", "CSS", 0, 0, 0, 0, 1, 1
"d:\FIXXUP\Angular-FIXXP-\src\app\view-society-logo\view-society-logo.component.html", "HTML", 0, 1, 0, 0, 1, 2
"d:\FIXXUP\Angular-FIXXP-\src\app\view-society-logo\view-society-logo.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"d:\FIXXUP\Angular-FIXXP-\src\app\view-society-logo\view-society-logo.component.ts", "TypeScript", 34, 0, 0, 0, 14, 48
"d:\FIXXUP\Angular-FIXXP-\src\app\view-society-manager-kyc\view-society-manager-kyc.component.css", "CSS", 0, 0, 0, 0, 1, 1
"d:\FIXXUP\Angular-FIXXP-\src\app\view-society-manager-kyc\view-society-manager-kyc.component.html", "HTML", 0, 1, 0, 0, 0, 1
"d:\FIXXUP\Angular-FIXXP-\src\app\view-society-manager-kyc\view-society-manager-kyc.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
